antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_ARTHRALGIA",SERIOUS_NO,0.00326,0.71979,0.00205,0.6288343558282209,0.8736358602206489,1.0,-0.00029651539999999994,0.7549459504132231,-0.12672505945297616,0.002843273231622746,-0.32459813772448937,0.3158412043662701
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_DYSPNOEA",SEX_OTHER,0.00233,1.0,0.00233,1.0,1.0,1.0,0.0,inf,0.0,0.0023300000000000005,0.0,0.501165
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_PAIN",SEX_OTHER,0.00275,1.0,0.00275,1.0,1.0,1.0,0.0,inf,0.0,0.00275,0.0,0.501375
"REACT_HEADACHE, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SEX_OTHER,0.00233,1.0,0.00233,1.0,1.0,1.0,0.0,inf,0.0,0.0023300000000000005,0.0,0.501165
"AGE_65PLUS, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SEX_OTHER,0.00728,1.0,0.00728,1.0,1.0,1.0,0.0,inf,0.0,0.00728,0.0,0.50364
"AGE_65PLUS, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SERIOUS_NO,0.00728,0.71979,0.00525,0.7211538461538461,1.0018947834143932,1.0,9.928799999999599e-06,1.0048910344827584,0.0019050689016035975,0.007273281427502702,0.004867228699354429,0.3642238200885515
"AGE_65PLUS, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SERIOUS_YES,0.00728,0.28021,0.00203,0.27884615384615385,0.9951327713006454,1.0,-9.928800000000033e-06,0.9981087999999999,-0.0049027469762245954,0.007111329082883765,-0.0018947834143933093,0.1430453602106113
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, SERIOUS_YES",AGE_65PLUS,0.00928,0.22617,0.00203,0.21875,0.9671928195605075,1.0,-6.885760000000006e-05,0.9905024,-0.03310430980637105,0.00869676977122783,-0.009588669345980396,0.11386277468276075
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, SEX_OTHER",SERIOUS_YES,0.03966,0.28021,0.00928,0.23398890569843672,0.8350483769260081,1.0,-0.001833128600000001,0.9396600197498354,-0.17060161038483485,0.029878618113912233,-0.0642146935933582,0.1335534621636611
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, SERIOUS_YES",SEX_OTHER,0.00928,1.0,0.00928,1.0,1.0,1.0,0.0,inf,0.0,0.00928,0.0,0.50464
REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION,"SERIOUS_YES, SEX_OTHER",0.03966,0.28021,0.00928,0.23398890569843672,0.8350483769260081,1.0,-0.001833128600000001,0.9396600197498354,-0.17060161038483485,0.029878618113912233,-0.0642146935933582,0.1335534621636611
"AGE_41_65, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SERIOUS_YES,0.00947,0.28021,0.00251,0.26504751847940866,0.9458888636358754,1.0,-0.00014358869999999985,0.9793694396551723,-0.0546002215361589,0.008740467319009647,-0.021065146112882027,0.1370025430090202
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, SERIOUS_YES",AGE_41_65,0.00928,0.25194,0.00251,0.2704741379310345,1.0735656820315729,1.0,0.00017199680000000005,1.0254057311669127,0.06916648650874539,0.009701982915233272,0.02477627186460241,0.14021841373014374
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, SERIOUS_YES",nan,0.00928,0.35861,0.00345,0.37176724137931033,1.0366895551694328,1.0,0.00012209920000000015,1.0209432590051457,0.03572257798749208,0.009466578860717815,0.020513636600680313,0.19069386022564133
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, nan",SERIOUS_YES,0.01559,0.28021,0.00345,0.22129570237331622,0.7897494820788559,1.0,-0.0009184739000000003,0.9243431713344314,-0.2128714323843178,0.011800923550538737,-0.08184928607883382,0.11680394839946279
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_FATIGUE",SEX_OTHER,0.00293,1.0,0.00293,1.0,1.0,1.0,0.0,inf,0.0,0.00293,0.0,0.501465
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_NAUSEA",SEX_OTHER,0.00277,1.0,0.00277,1.0,1.0,1.0,0.0,inf,0.0,0.0027700000000000003,0.0,0.501385
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_DIARRHOEA",SEX_OTHER,0.00266,1.0,0.00266,1.0,1.0,1.0,0.0,inf,0.0,0.00266,0.0,0.50133
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_PRODUCT_DOSE_OMISSION_ISSUE",SEX_OTHER,0.00436,1.0,0.00436,1.0,1.0,1.0,0.0,inf,0.0,0.004360000000000001,0.0,0.50218
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_PRODUCT_DOSE_OMISSION_ISSUE",SERIOUS_NO,0.00436,0.71979,0.00266,0.6100917431192661,0.8475968589717362,1.0,-0.0004782844000000004,0.7186562352941176,-0.15296843930770435,0.0036868147860677205,-0.39148587445392385,0.3068936327121914
"REACT_DRUG_INEFFECTIVE, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SEX_OTHER,0.00275,1.0,0.00275,1.0,1.0,1.0,0.0,inf,0.0,0.00275,0.0,0.501375
